Extração considerando o intervalo entre 01/03/26 a 31/03/26,
,
start_ts_br,end_ts_br
2026-03-30T23:35:48.070216,2026-03-30T23:35:51.188970
2026-03-30T23:34:52.742581,2026-03-30T23:34:58.742291
2026-03-30T23:34:18.386626,2026-03-30T23:34:32.323993
2026-03-30T23:13:39.523142,2026-03-30T23:13:42.681746
2026-03-30T23:11:07.248812,2026-03-30T23:11:11.367014
2026-03-30T22:53:58.142342,2026-03-30T22:54:07.747329
2026-03-30T22:43:11.876004,2026-03-30T22:43:16.421521
2026-03-30T22:42:51.787304,2026-03-30T22:42:55.931894
2026-03-30T22:40:05.514561,2026-03-30T22:40:09.447096
2026-03-30T22:34:26.526082,2026-03-30T22:34:30.360686
2026-03-30T22:33:00.264759,2026-03-30T22:33:32.332414
2026-03-30T22:29:47.798417,2026-03-30T22:29:50.874397
2026-03-30T22:27:55.542811,2026-03-30T22:28:23.502004
2026-03-30T22:27:19.625145,2026-03-30T22:27:24.145419
2026-03-30T22:21:58.349317,2026-03-30T22:22:00.429697
2026-03-30T22:21:20.404416,2026-03-30T22:21:23.086442
2026-03-30T22:20:18.063269,2026-03-30T22:20:20.972687
2026-03-30T22:18:55.654291,2026-03-30T22:18:59.727416
2026-03-30T22:15:37.629503,2026-03-30T22:15:51.607606
2026-03-30T22:14:36.234858,2026-03-30T22:14:49.499619
2026-03-30T22:14:17.083285,2026-03-30T22:14:21.335309
2026-03-30T22:10:36.091125,2026-03-30T22:10:55.191904
2026-03-30T22:05:52.904246,2026-03-30T22:05:57.736062
2026-03-30T22:04:27.613654,2026-03-30T22:04:27.613766
2026-03-30T22:02:06.538175,2026-03-30T22:02:09.867034
2026-03-30T21:59:08.302615,2026-03-30T21:59:11.169548
2026-03-30T21:59:04.617601,2026-03-30T21:59:10.055829
2026-03-30T21:58:56.156874,2026-03-30T21:58:56.156963
2026-03-30T21:57:24.049436,2026-03-30T21:57:56.239660
2026-03-30T21:53:55.013947,2026-03-30T21:53:58.319607
2026-03-30T21:50:26.422958,2026-03-30T21:50:32.198914
2026-03-30T21:47:23.308801,2026-03-30T21:47:28.966773
2026-03-30T21:47:03.439901,2026-03-30T21:47:06.694760
2026-03-30T21:42:10.984498,2026-03-30T21:42:27.993887
2026-03-30T21:40:58.239865,2026-03-30T21:40:58.240017
2026-03-30T21:40:34.417460,2026-03-30T21:40:34.417555
2026-03-30T21:40:04.414291,2026-03-30T21:40:07.058335
2026-03-30T21:39:39.076329,2026-03-30T21:39:40.506190
2026-03-30T21:39:29.596631,2026-03-30T21:39:33.971170
2026-03-30T21:39:20.300159,2026-03-30T21:39:23.928930
2026-03-30T21:38:41.611945,2026-03-30T21:38:46.199260
2026-03-30T21:38:22.652107,2026-03-30T21:38:26.486589
2026-03-30T21:36:31.974229,2026-03-30T21:36:31.974310
2026-03-30T21:35:58.389691,2026-03-30T21:35:58.389776
2026-03-30T21:33:27.165914,2026-03-30T21:33:32.921585
2026-03-30T21:32:02.478846,2026-03-30T21:32:02.478939
2026-03-30T21:30:29.366320,2026-03-30T21:30:29.366443
